"Average annual wages"
"US dollars, 2011"
"Category","Wages"
"Luxembourg",79286.058
"Switzerland",78460.799
"Netherlands",74547.463
"Belgium",70669.789
"United States",69825.157
"Austria",68983.449
"Norway",66990.893
"Denmark",65838.416
"Australia",65698.887
"Iceland",65096.164
"Canada",60334.697
"Germany",60202.065
"Ireland",59294.33
"Finland",56833.391
"France",56753.137
"United Kingdom",55149.517
"Sweden",53628.59
"OECD",53603.466
"Italy",52292.38
"Spain",51987.295
"New Zealand",48479.854
"Japan",47214.211
"Slovenia",46686.487
"Israel",43155.932
"Korea",42506.791
"Greece",36685.67
"Chile",36018.167
"Portugal",35715.48
"Czechia",32320.235
"Poland",31834.433
"Lithuania",31454.743
"Türkiye",28798.636
"Costa Rica",28796.2
"Colombia",27471.009
"Slovak Rep.",27228.587
"Estonia",26651.393
"Hungary",26514.427
"Latvia",22791.491
"Mexico",19449.835
