"Average annual wages"
"US dollars, 1994"
"Category","Wages"
"Netherlands",68498.414
"Switzerland",66853.633
"Luxembourg",65196.912
"Belgium",62943.613
"Austria",60783.921
"United States",54873.352
"Germany",53965.994
"Denmark",51494.239
"Australia",50097.396
"Spain",50067.888
"Iceland",50026.068
"Italy",49128.007
"Canada",48260.848
"Japan",47483.959
"France",46363.393
"OECD",45372.077
"Norway",43260.929
"Finland",43129.534
"United Kingdom",41632.576
"New Zealand",39181.795
"Sweden",36503.721
"Ireland",34729.877
"Korea",29982.817
"Costa Rica",22648.626
"Mexico",21633.865
"Slovak Rep.",14223.225
"Estonia",10671.3012112055
