"Average annual wages"
"US dollars, 2019"
"Category","Wages"
"Iceland",85837.715
"Luxembourg",82605.98
"Switzerland",81775.221
"United States",76177.355
"Netherlands",73913.182
"Belgium",72637.384
"Austria",71711.879
"Norway",71160.896
"Denmark",70153.043
"Germany",67750.942
"Australia",67239.567
"Canada",63911.249
"France",60552.03
"Ireland",60274.196
"Sweden",58938.315
"Finland",58150.242
"United Kingdom",58021.909
"OECD",57744.23
"New Zealand",54817.972
"Italy",51832.142
"Slovenia",51468.148
"Spain",50634.217
"Korea",49851.944
"Japan",48623.97
"Israel",47935.357
"Lithuania",45836.634
"Poland",41328.9
"Czechia",40365.928
"Türkiye",39641.76
"Costa Rica",37152.109
"Estonia",36772.522
"Portugal",36018.669
"Chile",35593.526
"Latvia",34041.843
"Slovak Rep.",32402.075
"Colombia",30744.693
"Greece",30510.443
"Hungary",29594.366
"Mexico",20213.194
