"Average annual wages"
"US dollars, 2001"
"Category","Wages"
"Switzerland",73587.479
"Luxembourg",71664.943
"Netherlands",68872.511
"Belgium",67543.476
"Iceland",65097.413
"United States",63862.346
"Austria",63666.321
"Germany",57680.782
"Denmark",56285.289
"Australia",55654.814
"Canada",52660.025
"Norway",51008.951
"Italy",50896.34
"United Kingdom",50228.745
"OECD",50216.855
"France",50071.743
"Finland",49291.184
"Spain",48685.18
"Japan",47096.293
"Israel",47093.399
"Ireland",44803.291
"Sweden",44388.924
"New Zealand",40517.747
"Slovenia",37750.03
"Portugal",36039.565
"Korea",35229.283
"Greece",34027.39
"Poland",28313.464
"Costa Rica",24439.42
"Chile",23930.558
"Czechia",23619.004
"Türkiye",22204.868
"Mexico",21711.477
"Hungary",21082.931
"Slovak Rep.",19875.706
"Lithuania",19626.468
"Estonia",16455.329
"Latvia",14765.265
