"Average annual wages"
"US dollars, 2007"
"Category","Wages"
"Iceland",80857.707
"Luxembourg",76858.061
"Switzerland",76425.792
"Netherlands",71496.728
"Belgium",69014.687
"United States",68602.84
"Austria",67757.868
"Denmark",63070.654
"Norway",61914.937
"Australia",61491.448
"Germany",58226.555
"Canada",58106.452
"United Kingdom",57634.638
"Finland",55091.589
"France",54114.974
"OECD",53052.563
"Italy",52360.248
"Ireland",52353.377
"Sweden",51024.918
"Spain",48558.122
"New Zealand",47968.195
"Japan",47950.902
"Israel",44672.891
"Slovenia",44372.816
"Korea",41217.621
"Greece",39810.915
"Portugal",35248.764
"Lithuania",34710.602
"Czechia",31061.728
"Poland",28922.334
"Estonia",27903.194
"Türkiye",27500.883
"Hungary",27023.788
"Latvia",26368.548
"Chile",25560.754
"Slovak Rep.",25188.938
"Colombia",23069.064
"Costa Rica",22218.213
"Mexico",21096.441
