"Average annual wages"
"US dollars, 2005"
"Category","Wages"
"Switzerland",75316.554
"Iceland",74577.158
"Luxembourg",73823.718
"Netherlands",70667.711
"Belgium",68676.39
"Austria",66368.198
"United States",66335.878
"Denmark",61330.584
"Australia",59438.492
"Germany",58415.002
"Norway",57007.444
"Canada",54922.6
"United Kingdom",54461.547
"France",53322.421
"Finland",53262.642
"Italy",52057.773
"OECD",51905.134
"Ireland",50454.483
"Spain",48268.13
"Sweden",48021.672
"Japan",47957.23
"New Zealand",45044.682
"Israel",43121.241
"Slovenia",42111.342
"Korea",39831.814
"Greece",39335.679
"Portugal",35792.01
"Czechia",28999.186
"Lithuania",28474.714
"Poland",27818.489
"Hungary",26706.431
"Türkiye",26441.018
"Chile",24066.21
"Slovak Rep.",22938.838
"Estonia",21987.226
"Costa Rica",21820.072
"Colombia",21299.867
"Mexico",21172.175
"Latvia",19396.31
