"Average annual wages"
"US dollars, 2006"
"Category","Wages"
"Iceland",78500.432
"Switzerland",75532.523
"Luxembourg",74826.642
"Netherlands",70513.925
"Belgium",69142.96
"Austria",67363.716
"United States",67329.046
"Denmark",62365.112
"Australia",59840.557
"Norway",59282.997
"Germany",58403.675
"Canada",56595.049
"United Kingdom",55373.325
"Finland",54365.105
"France",53917.922
"Italy",52387.405
"OECD",52360.827
"Ireland",50854.745
"Sweden",49366.608
"Spain",48037.691
"Japan",47790.918
"New Zealand",45321.225
"Israel",44231.653
"Slovenia",43427.854
"Korea",40344.943
"Greece",39803.573
"Portugal",35015.217
"Lithuania",32602.507
"Czechia",30161.726
"Poland",28004.508
"Hungary",27226.167
"Türkiye",26585.827
"Chile",24864.14
"Estonia",24005.613
"Slovak Rep.",23729.741
"Colombia",23136.687
"Costa Rica",22644.309
"Latvia",21387.079
"Mexico",21321.803
