"Average annual wages"
"US dollars, 1993"
"Category","Wages"
"Netherlands",68004.72
"Switzerland",66036.983
"Luxembourg",64158.436
"Belgium",61745.648
"Austria",60177.613
"United States",55083.922
"Germany",53847.401
"Denmark",53349.215
"Italy",49772.534
"Australia",49760.776
"Spain",49550.415
"Iceland",49038.981
"Canada",48815.64
"Japan",47015.312
"France",46170.555
"OECD",45241.551
"Finland",42526.814
"Norway",42396.578
"United Kingdom",40909.374
"New Zealand",38502.954
"Sweden",35629.162
"Ireland",34504.645
"Korea",29384.84
"Costa Rica",21770.721
"Mexico",20952.914
"Estonia",10671.3012112055
