"Average annual wages"
"US dollars, 1992"
"Category","Wages"
"Netherlands",66878.757
"Switzerland",65326.662
"Luxembourg",62938.956
"Belgium",60474.567
"Austria",59690.936
"United States",55396.054
"Germany",53495.121
"Denmark",52765.289
"Iceland",51775.643
"Italy",50551.189
"Australia",49299.641
"Canada",48921.606
"Spain",48771.351
"Japan",47379.203
"France",45647.3
"OECD",45157.634
"Finland",44070.03
"Norway",41995.962
"United Kingdom",40253.195
"New Zealand",37530.37
"Sweden",36102.193
"Ireland",32877.211
"Korea",27682.601
"Costa Rica",20306.142
"Mexico",19940.149
"Estonia",10671.3012112055
