"Average annual wages"
"US dollars, 2009"
"Category","Wages"
"Luxembourg",78802.103
"Switzerland",78369.879
"Netherlands",74954.904
"Belgium",70278.549
"Austria",70054.599
"United States",69120.153
"Denmark",65441.747
"Norway",63877.644
"Australia",61401.86
"Iceland",60635.974
"Ireland",59987.457
"Canada",59511.108
"Germany",58499.097
"Finland",56041.678
"United Kingdom",55934.606
"France",55729.932
"Spain",53438.13
"OECD",53399.006
"Italy",52689.925
"Sweden",52177.773
"New Zealand",47991.154
"Japan",47131.44
"Slovenia",45549.051
"Israel",42672.575
"Korea",41307.718
"Greece",41045.34
"Portugal",36754.362
"Czechia",31102.806
"Lithuania",30692.697
"Poland",30421.929
"Chile",28888.481
"Türkiye",27652.664
"Estonia",27586.281
"Colombia",26622.878
"Slovak Rep.",26314.498
"Costa Rica",26314.331
"Hungary",25834.221
"Latvia",24561.248
"Mexico",20578.962
