"Average annual wages"
"US dollars, 2016"
"Category","Wages"
"Luxembourg",80966.837
"Switzerland",80835.085
"Iceland",79087.921
"Netherlands",75825.85
"United States",73159.47
"Belgium",72010.583
"Austria",70847.036
"Norway",69748.525
"Denmark",68724.795
"Australia",66557.485
"Germany",65033.238
"Canada",61768.598
"France",59228.472
"Ireland",57826.314
"Sweden",57712.513
"Finland",57230.693
"United Kingdom",56782.666
"OECD",55719.929
"Italy",51850.119
"New Zealand",51564.214
"Spain",50846.834
"Slovenia",48070.159
"Japan",47332.094
"Korea",45521.002
"Israel",44031.829
"Chile",39867.011
"Lithuania",38884.274
"Türkiye",37315.185
"Costa Rica",35545.251
"Poland",35161.294
"Czechia",35017.086
"Portugal",33977.318
"Estonia",32177.664
"Greece",31730.648
"Latvia",30455.017
"Slovak Rep.",29634.852
"Colombia",28653.14
"Hungary",25460.545
"Mexico",19680.069
