"Average annual wages"
"US dollars, 1997"
"Category","Wages"
"Luxembourg",67274.095
"Switzerland",67267.829
"Netherlands",67152.547
"Belgium",64325.761
"Austria",60350.767
"United States",57389.335
"Germany",55507.554
"Iceland",55096.569
"Denmark",54413.134
"Australia",52959.617
"Canada",50067.247
"Italy",49822.636
"Spain",49792.323
"Japan",48431.869
"France",47718.021
"OECD",46698.834
"Norway",45960.894
"Finland",45892.278
"United Kingdom",43219.431
"Israel",41772.62
"New Zealand",40774.165
"Sweden",40308.576
"Ireland",39061.308
"Slovenia",34285.43
"Portugal",33814.352
"Korea",33774.964
"Greece",28316.568
"Poland",23822.999
"Costa Rica",22061.916
"Chile",20962.669
"Czechia",20822.604
"Slovak Rep.",18809.821
"Hungary",18240.498
"Mexico",17151.056
"Lithuania",16258.778
"Estonia",13194.253
"Latvia",12664.679
