"Average annual wages"
"US dollars, 1998"
"Category","Wages"
"Switzerland",67467.399
"Luxembourg",67453.675
"Netherlands",65002.593
"Belgium",64364.341
"Austria",62279.595
"Iceland",60804.966
"United States",59752.73
"Germany",56187.198
"Denmark",55349.671
"Australia",53725.429
"Canada",50907.739
"Spain",50058.51
"Italy",49981.463
"France",48455.37
"Japan",47676.437
"OECD",47658.456
"Norway",47651.666
"Finland",47103.783
"United Kingdom",43882.042
"Israel",43385.909
"Sweden",41637.422
"Ireland",41091.477
"New Zealand",40105.687
"Slovenia",34780.258
"Portugal",34237.421
"Korea",33426.092
"Greece",30658.428
"Türkiye",25451.55
"Poland",24533.173
"Costa Rica",22339.22
"Chile",21894.521
"Czechia",20818.998
"Slovak Rep.",19551.854
"Hungary",18650.153
"Mexico",18095.974
"Lithuania",17745.788
"Estonia",14090.986
"Latvia",13050.499
