"Average annual wages"
"US dollars, 2003"
"Category","Wages"
"Switzerland",74693.001
"Luxembourg",72609.514
"Belgium",69700.201
"Netherlands",69573.612
"Iceland",65267.499
"United States",65067.869
"Austria",64779.214
"Denmark",58990.826
"Germany",58212.361
"Australia",56960.491
"Norway",53601.429
"United Kingdom",52385.703
"Canada",52251.719
"France",51842.422
"OECD",50851.023
"Finland",50497.8
"Italy",50401.353
"Spain",48680.422
"Ireland",46756.919
"Japan",46231.618
"Sweden",45354.052
"Israel",43858.345
"New Zealand",42796.533
"Greece",38756.692
"Slovenia",38668.404
"Korea",37787.289
"Portugal",35941.055
"Poland",28557.612
"Czechia",26957.457
"Chile",24634.853
"Costa Rica",23942.689
"Hungary",23909.053
"Türkiye",23899.973
"Lithuania",23230.062
"Mexico",22134.976
"Slovak Rep.",21302.33
"Estonia",19101.243
"Latvia",15339.362
