"Average annual wages"
"US dollars, 1999"
"Category","Wages"
"Luxembourg",69068.892
"Switzerland",68696.575
"Belgium",67951.929
"Netherlands",66244.181
"Austria",63662.506
"Iceland",63649.04
"United States",61327.056
"Germany",56934.67
"Denmark",55992.903
"Australia",54946.652
"Canada",51321.512
"Italy",50550.346
"Spain",50029.144
"France",49522.186
"Norway",49188.677
"OECD",48723.023
"Finland",48205.61
"Japan",47224.627
"United Kingdom",46068.15
"Israel",44251.045
"Sweden",42511.18
"Ireland",42025.551
"New Zealand",39604.834
"Slovenia",35446.87
"Portugal",35403.49
"Korea",33733.242
"Greece",31148.448
"Poland",26667.245
"Türkiye",25526.44
"Costa Rica",23248.579
"Chile",23092.66
"Czechia",21647.382
"Slovak Rep.",19145.602
"Mexico",19080.775
"Hungary",18731.137
"Lithuania",18543.618
"Estonia",14725.959
"Latvia",13586.564
