"Average annual wages"
"US dollars, 2015"
"Category","Wages"
"Switzerland",81207.823
"Luxembourg",81182.8
"Netherlands",75523.421
"United States",73035.908
"Belgium",71855.963
"Iceland",71087.405
"Norway",70894.74
"Austria",70174.711
"Denmark",68651.835
"Australia",66223.88
"Germany",64051.543
"Canada",62961.965
"France",58551.092
"Ireland",57188.156
"Sweden",56824.377
"Finland",56732.454
"United Kingdom",56117.857
"OECD",55239.921
"Italy",51438.524
"Spain",51133.795
"New Zealand",49938.282
"Japan",46823.375
"Slovenia",46345.149
"Korea",44224.666
"Israel",42290.674
"Chile",38209.65
"Lithuania",36954.077
"Costa Rica",34142.393
"Portugal",34126.398
"Czechia",33822.611
"Poland",33394.541
"Türkiye",33227.034
"Greece",32475.924
"Estonia",30614.664
"Colombia",28976.184
"Latvia",28752.107
"Slovak Rep.",28725.113
"Hungary",25231.787
"Mexico",20107.648
