"Average annual wages"
"US dollars, 2010"
"Category","Wages"
"Luxembourg",78848.815
"Switzerland",77954.265
"Netherlands",74879.184
"Belgium",69953.183
"Austria",69734.647
"United States",69731.992
"Denmark",66187.071
"Norway",64716.343
"Australia",63594.624
"Iceland",62447.163
"Ireland",60191.29
"Canada",59617.199
"Germany",59011.604
"France",56854.693
"Finland",56817.286
"United Kingdom",56174.519
"OECD",53484.036
"Italy",53139.993
"Spain",52932.806
"Sweden",52818.438
"New Zealand",48516.49
"Japan",46984.729
"Slovenia",46843.024
"Israel",42784.073
"Korea",41956.484
"Greece",39170.601
"Portugal",36606.604
"Chile",35181.197
"Czechia",32059.001
"Poland",31659.986
"Lithuania",30824.886
"Türkiye",28340.852
"Colombia",27552.027
"Costa Rica",27478.912
"Slovak Rep.",27471.418
"Estonia",27281.521
"Hungary",26175.609
"Latvia",23613.964
"Mexico",18980.466
