"Average annual wages"
"US dollars, 2021"
"Category","Wages"
"Luxembourg",86970.303
"Iceland",83996.63
"Switzerland",82730.044
"United States",82197.325
"Netherlands",74671.031
"Norway",73284.868
"Austria",73022.095
"Belgium",72655.266
"Denmark",71590.819
"Australia",69333.532
"Germany",67368.558
"Canada",66853.154
"Sweden",61107.913
"Ireland",60645.556
"Finland",60500.063
"France",59834.273
"OECD",59601.335
"New Zealand",58661.101
"United Kingdom",58341.425
"Slovenia",55255.651
"Spain",52173.79
"Italy",51585.336
"Lithuania",51290.147
"Korea",51108.263
"Israel",50550.299
"Japan",48661.717
"Poland",41841.326
"Estonia",40865.061
"Türkiye",40848.891
"Czechia",40588.156
"Costa Rica",39764.056
"Chile",37720.644
"Latvia",37218.667
"Portugal",37006.557
"Slovak Rep.",33564.635
"Colombia",31651.772
"Greece",30899.824
"Hungary",30898.321
"Mexico",20012.633
