"Average annual wages"
"US dollars, 2012"
"Category","Wages"
"Switzerland",79582.508
"Luxembourg",78481.03
"Netherlands",74798.418
"Belgium",71241.093
"United States",70421.438
"Austria",69375.422
"Norway",68816.383
"Australia",66155.298
"Denmark",65737.906
"Iceland",64759.014
"Canada",61049.278
"Germany",61004.875
"Ireland",58836.486
"France",57120.007
"Finland",56878.744
"Sweden",54760.735
"United Kingdom",54717.078
"OECD",53665.71
"Italy",50634.007
"Spain",50531.486
"New Zealand",49526.713
"Japan",47241.088
"Slovenia",45191.709
"Korea",41882.192
"Israel",40569.323
"Chile",37048.057
"Greece",34550.807
"Portugal",34180.932
"Czechia",32379.453
"Lithuania",31956.929
"Poland",31522.676
"Türkiye",29961.178
"Costa Rica",29423.446
"Colombia",28175.202
"Estonia",27053.976
"Slovak Rep.",26886.432
"Hungary",25631.182
"Latvia",23713.553
"Mexico",19199.935
