"Average annual wages"
"US dollars, 1996"
"Category","Wages"
"Netherlands",66943.754
"Switzerland",66080.396
"Luxembourg",65969.169
"Belgium",63515.858
"Austria",60853.93
"United States",55991.708
"Germany",55743
"Denmark",53532.721
"Iceland",52854.78
"Australia",51356.421
"Spain",49739.005
"Canada",48579.973
"Italy",48432.124
"Japan",48254.531
"France",47192.399
"OECD",45927.055
"Finland",45853.215
"Norway",44967.78
"United Kingdom",41615.62
"Israel",40640.704
"New Zealand",39648.768
"Sweden",38766.246
"Ireland",36571.461
"Korea",34478.451
"Portugal",32957.494
"Slovenia",32553.583
"Greece",25452.021
"Poland",22661.026
"Costa Rica",22291.487
"Czechia",20502.483
"Chile",19624.85
"Hungary",17801.225
"Slovak Rep.",16565.885
"Mexico",16346.386
"Lithuania",14693.839
"Latvia",12095.076
"Estonia",12078.608
