"Average annual wages"
"US dollars, 2014"
"Category","Wages"
"Switzerland",80766.759
"Luxembourg",80731.11
"Netherlands",74614.131
"Belgium",72346.952
"United States",71212.471
"Norway",70541.903
"Austria",69668.596
"Denmark",67457.581
"Iceland",66679.206
"Australia",66618.238
"Germany",62611.854
"Canada",62502.001
"France",57997.488
"Ireland",57121.541
"Finland",56291.56
"Sweden",55989.586
"United Kingdom",55358.494
"OECD",54332.814
"Italy",50996.99
"Spain",50380.203
"New Zealand",49054.96
"Japan",47100.299
"Slovenia",45466.517
"Korea",43028.899
"Israel",40964.38
"Chile",38351.344
"Lithuania",34705.149
"Portugal",34229.844
"Czechia",32856.219
"Poland",32592.714
"Türkiye",32409.395
"Greece",32159.992
"Costa Rica",31992.302
"Estonia",29245.691
"Colombia",28881.825
"Slovak Rep.",27636.935
"Latvia",26518.846
"Hungary",25037.578
"Mexico",19481.938
