"Average annual wages"
"US dollars, 2020"
"Category","Wages"
"Luxembourg",82892.871
"United States",80804.139
"Iceland",80592.509
"Switzerland",80084.552
"Netherlands",75532.788
"Austria",71910.584
"Norway",71361.2
"Denmark",71153.335
"Belgium",70429.635
"Australia",68580.535
"Germany",67205.995
"Canada",66538.831
"Ireland",61201.55
"Sweden",59685.612
"OECD",58636.268
"Finland",58465.11
"France",57565.419
"United Kingdom",57282.701
"New Zealand",56251.416
"Slovenia",52991.577
"Korea",50999.408
"Spain",50410.726
"Italy",49359.118
"Japan",48256.771
"Lithuania",48163.044
"Israel",47995.299
"Poland",42062.146
"Costa Rica",40707.978
"Czechia",39784.811
"Türkiye",39402.645
"Estonia",38695.97
"Portugal",36281.289
"Chile",35783.956
"Latvia",35383.163
"Colombia",34979.044
"Slovak Rep.",32822.32
"Greece",30599.484
"Hungary",30109.731
"Mexico",19457.839
