"Average annual wages"
"US dollars, 2022"
"Category","Wages"
"Iceland",89873.15
"Luxembourg",86675.452
"Switzerland",84092.147
"United States",79881.983
"Norway",72773.244
"Netherlands",71776.223
"Austria",71339.884
"Belgium",71145.729
"Denmark",69221.311
"Australia",67770.728
"Canada",66065.804
"Germany",65821.568
"France",60085.902
"Sweden",59479.296
"Finland",58524.232
"Ireland",58435.237
"OECD",58339.463
"New Zealand",57989.726
"United Kingdom",57322.643
"Slovenia",53186.662
"Israel",50996.721
"Spain",50858.98
"Italy",50263.126
"Korea",49413.135
"Lithuania",48184.406
"Japan",48015.201
"Türkiye",40220.883
"Poland",40022.887
"Czechia",37971.041
"Estonia",37847.88
"Chile",36983.583
"Latvia",36906.222
"Portugal",36559.526
"Costa Rica",36480.781
"Hungary",31982.675
"Slovak Rep.",31807.608
"Greece",30102.536
"Colombia",28264.853
"Mexico",20249.119
