"Average annual wages"
"US dollars, 1995"
"Category","Wages"
"Netherlands",67167.027
"Switzerland",66898.248
"Luxembourg",65152.744
"Belgium",62729.451
"Austria",61273.604
"United States",55184.446
"Germany",55110.139
"Denmark",52594.158
"Iceland",51230.987
"Australia",49917.855
"Spain",49074.352
"Canada",48152.836
"Japan",48058.328
"Italy",48052.46
"France",47050.796
"OECD",45473.992
"Finland",44826.371
"Norway",43664.966
"United Kingdom",41642.784
"New Zealand",39009.292
"Israel",37383.088
"Sweden",36594.806
"Ireland",35346.428
"Korea",32926.932
"Portugal",31781.674
"Slovenia",30998.757
"Greece",25190.684
"Costa Rica",22344.888
"Türkiye",21432
"Poland",20985.694
"Czechia",18831.23
"Hungary",17794.65
"Mexico",17465.057
"Chile",17383
"Colombia",16614
"Slovak Rep.",15318.844
"Lithuania",13193.023
"Estonia",11365.914
"Latvia",11340
