"Average annual wages"
"US dollars, 2004"
"Category","Wages"
"Switzerland",74153.723
"Luxembourg",73455.323
"Netherlands",70668.016
"Belgium",69334.586
"Iceland",69209.033
"United States",66273.694
"Austria",66010.002
"Denmark",60296.932
"Australia",58753.677
"Germany",58204.608
"Norway",55406.855
"United Kingdom",53923.647
"Canada",53380.673
"France",52687.54
"Finland",52146.836
"OECD",51522.812
"Italy",51359.421
"Ireland",48437.64
"Spain",48060.851
"Sweden",46850.699
"Japan",46783.199
"New Zealand",44295.218
"Israel",43198.691
"Slovenia",40628.653
"Greece",39467.437
"Korea",38639.892
"Portugal",35988.768
"Czechia",28171.231
"Poland",27928.009
"Lithuania",25770.755
"Hungary",25578.621
"Türkiye",25481.411
"Chile",24233.661
"Costa Rica",23951.045
"Slovak Rep.",21612.279
"Mexico",21346.525
"Estonia",20613.528
"Latvia",16675.32
