"Average annual wages"
"US dollars, 2018"
"Category","Wages"
"Iceland",88687.173
"Luxembourg",82436.559
"Switzerland",80252.012
"United States",74830.928
"Netherlands",74438.382
"Belgium",71929.247
"Austria",71125.244
"Norway",69903.614
"Denmark",69653.413
"Germany",66637.25
"Australia",66604.023
"Canada",63525.897
"France",59972.851
"Ireland",59341.267
"Sweden",58320.717
"United Kingdom",57358.584
"Finland",57321.863
"OECD",56771.463
"New Zealand",53215.267
"Italy",51575.489
"Slovenia",50061.054
"Spain",50053.636
"Korea",48196.79
"Japan",48154.48
"Israel",46884.035
"Lithuania",42945.28
"Poland",38935.144
"Czechia",38756.05
"Türkiye",37274.639
"Costa Rica",36144.918
"Estonia",35031.161
"Chile",35029.65
"Portugal",34672.048
"Latvia",32702.409
"Slovak Rep.",31377.098
"Colombia",30575.96
"Greece",30459.402
"Hungary",28639.498
"Mexico",19862.789
