"Average annual wages"
"US dollars, 2000"
"Category","Wages"
"Luxembourg",71300.272
"Switzerland",69712.959
"Netherlands",67865.517
"Belgium",67338.25
"Iceland",65599.841
"Austria",63859.534
"United States",63375.36
"Germany",57262.795
"Denmark",55941.61
"Australia",55109.453
"Canada",52877.62
"Italy",50541.009
"France",49758.575
"OECD",49712.144
"Norway",49621.406
"Finland",49033.263
"Spain",48941.33
"United Kingdom",48255.484
"Japan",47682.883
"Israel",45806.804
"Sweden",43871.433
"Ireland",42995.385
"New Zealand",39764.148
"Slovenia",36282.778
"Portugal",35895.413
"Korea",34049.158
"Greece",32920.851
"Poland",26791.393
"Türkiye",24189.878
"Costa Rica",23647.632
"Chile",23114.752
"Czechia",22460.506
"Mexico",20254.368
"Slovak Rep.",19872.052
"Hungary",19593.582
"Lithuania",18599.439
"Estonia",15902.123
"Latvia",14299.664
