"Average annual wages"
"US dollars, 2008"
"Category","Wages"
"Switzerland",76837.654
"Luxembourg",76421.792
"Netherlands",71930.522
"Iceland",71679.797
"Belgium",69312.521
"Austria",68878.639
"United States",68434.095
"Denmark",63897.937
"Norway",63216.769
"Australia",61963.18
"Canada",59126.533
"Germany",58487.034
"United Kingdom",56096.099
"Finland",55562.588
"Ireland",54680.982
"France",54011.549
"OECD",53029.601
"Italy",52290.013
"Sweden",52002.354
"Spain",50274.049
"Japan",47735.946
"New Zealand",47411.21
"Slovenia",45107.172
"Israel",43949.125
"Korea",41094.724
"Greece",39194.8
"Lithuania",35361.416
"Portugal",35131.123
"Czechia",31228.053
"Poland",30441.409
"Estonia",28268.696
"Hungary",27400.089
"Türkiye",27342.743
"Latvia",27200.653
"Chile",26204.215
"Colombia",25574.135
"Slovak Rep.",25445.895
"Costa Rica",23115.153
"Mexico",20608.777
