"Average annual wages"
"US dollars, 2017"
"Category","Wages"
"Iceland",86631.051
"Luxembourg",81979.638
"Switzerland",80391.982
"Netherlands",75270.829
"United States",73958.08
"Belgium",71506.467
"Austria",70857.484
"Norway",69571.09
"Denmark",69140.153
"Australia",66370.517
"Germany",65717.071
"Canada",62646.432
"France",60050.285
"Ireland",58528.185
"Sweden",58032.122
"United Kingdom",57162.705
"Finland",56902.131
"OECD",56138.275
"New Zealand",51918.599
"Italy",51517.1
"Spain",50185.423
"Slovenia",49177.144
"Japan",47367.74
"Korea",46591.336
"Israel",45420.643
"Lithuania",41094.282
"Chile",38610.618
"Czechia",36806.692
"Türkiye",36613.088
"Poland",36599.528
"Costa Rica",35414.949
"Portugal",34108.815
"Estonia",32889.847
"Greece",31933.178
"Latvia",31542.422
"Slovak Rep.",30511.747
"Colombia",29446.726
"Hungary",27302.044
"Mexico",19525.672
