"Average annual wages"
"US dollars, 2002"
"Category","Wages"
"Switzerland",75070.215
"Luxembourg",73110.935
"Belgium",69287.175
"Netherlands",69086.114
"Iceland",66968.208
"Austria",64630.064
"United States",64375.985
"Germany",58019.569
"Denmark",57572.064
"Australia",56161.239
"Norway",52903.221
"Canada",52235.557
"France",51423.043
"United Kingdom",50775.401
"Italy",50535.558
"OECD",50392.489
"Finland",49555.97
"Spain",48929.26
"Japan",46112.178
"Ireland",45351.419
"Israel",45178.082
"Sweden",44979.021
"New Zealand",41266.226
"Slovenia",37819.511
"Greece",37121.527
"Korea",36440.749
"Portugal",36024.04
"Poland",28212.868
"Czechia",25047.627
"Costa Rica",24713.296
"Chile",24249.667
"Türkiye",22506.252
"Hungary",22136.715
"Mexico",21861.527
"Lithuania",20955.644
"Slovak Rep.",20900.263
"Estonia",17426.757
"Latvia",14316.073
