"Average annual wages"
"US dollars, 1990"
"Category","Wages"
"Netherlands",66010.89
"Switzerland",63640.619
"Luxembourg",59624.886
"Austria",56738.563
"Belgium",56129.933
"United States",53775.773
"Denmark",50775.556
"Italy",50178.619
"Iceland",49611.192
"Australia",48518.38
"Canada",48036.376
"Japan",46694.428
"Spain",45579.749
"France",44622.677
"Finland",44217.976
"OECD",43963.291
"Norway",41012.028
"United Kingdom",39365.255
"New Zealand",37422.217
"Sweden",36755.395
"Ireland",30309.774
"Korea",25438.071
"Mexico",17961.631
